token,frequency,document_frequency
submodule,2,2
suggested,2,2
supporting,2,2
taken,2,2
team,2,2
tensorflow,2,2
testing,2,2
textual,2,2
though,2,2
throw,2,2
todo,2,2
token,2,2
tps,2,2
trace,2,2
train,2,2
transition,2,2
trouble,2,2
troublesome,2,2
trustworthy,2,2
uncompressed,2,2
understand,2,2
understanding,2,2
unexpected,2,2
unfortunately,2,2
unknown,2,2
unless,2,2
unstructured,2,2
uploaded,2,2
uploading,2,2
usual,2,2
valued,2,2
wait,2,2
website,2,2
welcome,2,2
whether,2,2
whose,2,2
wide,2,2
wikipedia,2,2
wild,2,2
writes,2,2
wrong,2,2
active,2,1
agree,2,1
alignment,2,1
analyser,2,1
applicable,2,1
audit,2,1
authentication,2,1
backend,2,1
backup,2,1
bean,2,1
bounding,2,1
cdf,2,1
certainty,2,1
checkboxes,2,1
chm,2,1
cited,2,1
collected,2,1
combo,2,1
comparator,2,1
composer,2,1
constit,2,1
contributing,2,1
contribution,2,1
convenient,2,1
ctx,2,1
dataformat,2,1
decision,2,1
deeper,2,1
deletion,2,1
deserializer,2,1
desired,2,1
dimensional,2,1
disable,2,1
dsa,2,1
dumping,2,1
editing,2,1
embed,2,1
emf,2,1
eof,2,1
eol,2,1
equation,2,1
escaped,2,1
evidence,2,1
exceeds,2,1
executables,2,1
expands,2,1
explode,2,1
feel,2,1
fewer,2,1
figure,2,1
fileupload,2,1
firebase,2,1
fsf,2,1
fuzzers,2,1
fuzzing,2,1
gagravarr,2,1
generator,2,1
geoparser,2,1
geotagging,2,1
github,2,1
guava,2,1
host,2,1
ifc,2,1
industry,2,1
inheritance,2,1
initialization,2,1
initializes,2,1
insensitive,2,1
interoperability,2,1
intuitive,2,1
intuitively,2,1
iptc,2,1
iterable,2,1
iterator,2,1
jackcess,2,1
jax,2,1
jdom,2,1
jsoup,2,1
larger,2,1
launch,2,1
leading,2,1
legal,2,1
leveraging,2,1
light,2,1
mangling,2,1
manipulated,2,1
measure,2,1
median,2,1
mit,2,1
mitie,2,1
mixture,2,1
monitor,2,1
monitoring,2,1
monolithic,2,1
msparser,2,1
namespaced,2,1
noformat,2,1
npm,2,1
null,2,1
numeric,2,1
ooms,2,1
opcpackage,2,1
opennlp,2,1
operate,2,1
origin,2,1
ossindex,2,1
overriding,2,1
pdxobject,2,1
phonenumbers,2,1
pipesclient,2,1
plugins,2,1
policy,2,1
predicting,2,1
preventive,2,1
profiler,2,1
quartz,2,1
quotation,2,1
reached,2,1
real,2,1
reflected,2,1
removal,2,1
runner,2,1
safeguard,2,1
score,2,1
sed,2,1
sequence,2,1
serial,2,1
session,2,1
shallow,2,1
shift,2,1
singleton,2,1
spanning,2,1
speedup,2,1
sql,2,1
square,2,1
stdin,2,1
str,2,1
stringignorecase,2,1
suffer,2,1
threshold,2,1
timing,2,1
traverse,2,1
truncated,2,1
trusted,2,1
tsv,2,1
unapplicable,2,1
unified,2,1
unsecure,2,1
uribuilder,2,1
urlconnection,2,1
urlfetcher,2,1
util,2,1
vision,2,1
wanting,2,1
waving,2,1
xmpscanner,2,1
abcd,1,1
abnormally,1,1
absence,1,1
acceptable,1,1
accommodating,1,1
accomplish,1,1
accordance,1,1
achieve,1,1
achieves,1,1
achieving,1,1
acm,1,1
act,1,1
activate,1,1
activated,1,1
activating,1,1
actor,1,1
adapted,1,1
additive,1,1
addressed,1,1
adequately,1,1
advanced,1,1
afmparser,1,1
aforementioned,1,1
aforementionned,1,1
afterwards,1,1
ago,1,1
aiff,1,1
aimed,1,1
aka,1,1
aliasing,1,1
align,1,1
allocate,1,1
alone,1,1
alphanumeric,1,1
alternate,1,1
alternatively,1,1
ambiguity,1,1
among,1,1
analysed,1,1
analysing,1,1
anastasija,1,1
answer,1,1
antipattern,1,1
anyayunli,1,1
apis,1,1
appeal,1,1
appear,1,1
appears,1,1
appended,1,1
appender,1,1
appreciate,1,1
appropriate,1,1
appropriately,1,1
approximately,1,1
apps,1,1
appspot,1,1
archive,1,1
archived,1,1
army,1,1
arrange,1,1
artifact,1,1
ascii,1,1
ask,1,1
asking,1,1
associated,1,1
assuming,1,1
asynchronously,1,1
attach,1,1
attachable,1,1
atypical,1,1
augmenting,1,1
auth,1,1
author,1,1
autodetect,1,1
automated,1,1
automating,1,1
avenue,1,1
avg,1,1
avoiding,1,1
backed,1,1
bad,1,1
bandwidth,1,1
bank,1,1
baseline,1,1
basis,1,1
batching,1,1
bearing,1,1
beauty,1,1
became,1,1
becomes,1,1
begin,1,1
begun,1,1
behaviour,1,1
behind,1,1
beleive,1,1
believed,1,1
beta,1,1
bialecki,1,1
bin,1,1
biomedical,1,1
blacklisting,1,1
blank,1,1
bleskes,1,1
bless,1,1
bloated,1,1
blocked,1,1
blocker,1,1
bmc,1,1
bonus,1,1
boolean,1,1
bother,1,1
boundary,1,1
brain,1,1
branch,1,1
breaching,1,1
bringing,1,1
brittle,1,1
broaden,1,1
broken,1,1
btw,1,1
buffered,1,1
bump,1,1
bundling,1,1
bzip,1,1
cad,1,1
cake,1,1
calculation,1,1
came,1,1
capable,1,1
capital,1,1
caption,1,1
capturing,1,1
carried,1,1
caste,1,1
casuses,1,1
catdoc,1,1
caught,1,1
caution,1,1
cborfactory,1,1
cborgenerator,1,1
ceased,1,1
center,1,1
central,1,1
centralize,1,1
cgi,1,1
chain,1,1
challenged,1,1
chance,1,1
changeset,1,1
chaotic,1,1
charron,1,1
cheap,1,1
cheaper,1,1
checkbox,1,1
checked,1,1
checking,1,1
cherry,1,1
chi,1,1
choosed,1,1
christian,1,1
city,1,1
classic,1,1
classloader,1,1
clause,1,1
cleaning,1,1
clear,1,1
clearest,1,1
clearing,1,1
clever,1,1
click,1,1
clicked,1,1
clog,1,1
clone,1,1
closed,1,1
closely,1,1
closing,1,1
clustering,1,1
clutter,1,1
codebase,1,1
coherent,1,1
coincide,1,1
col,1,1
collaborate,1,1
collect,1,1
color,1,1
coming,1,1
committers,1,1
committing,1,1
commonsfileupload,1,1
companding,1,1
comparison,1,1
competition,1,1
complexity,1,1
compression,1,1
compressor,1,1
computational,1,1
computed,1,1
computes,1,1
concerning,1,1
conclude,1,1
conduct,1,1
conference,1,1
conflicting,1,1
conform,1,1
connect,1,1
considerable,1,1
considerably,1,1
consideration,1,1
considering,1,1
consistency,1,1
consists,1,1
consolidating,1,1
constantly,1,1
constructed,1,1
construction,1,1
consumed,1,1
contenthandler,1,1
controller,1,1
convenience,1,1
converge,1,1
converted,1,1
convinced,1,1
cookie,1,1
cooky,1,1
coordinate,1,1
coordination,1,1
corpus,1,1
correctly,1,1
costly,1,1
counterfeit,1,1
counterpart,1,1
counting,1,1
craft,1,1
crafting,1,1
crazy,1,1
crippling,1,1
crlf,1,1
csvs,1,1
cumbersome,1,1
curl,1,1
customer,1,1
customize,1,1
daemon,1,1
dangerous,1,1
datasets,1,1
ddo,1,1
dead,1,1
debugging,1,1
declaration,1,1
decoding,1,1
decorates,1,1
decrease,1,1
dedicated,1,1
deduce,1,1
deep,1,1
definitive,1,1
defitinions,1,1
degrade,1,1
degree,1,1
delimiter,1,1
deliver,1,1
demand,1,1
demonstrate,1,1
dependence,1,1
dependent,1,1
deployed,1,1
deployment,1,1
deprecate,1,1
deriving,1,1
described,1,1
describing,1,1
desktop,1,1
despite,1,1
deteriorate,1,1
detrimental,1,1
development,1,1
deviation,1,1
dictate,1,1
differently,1,1
dig,1,1
digesting,1,1
dih,1,1
dimension,1,1
dir,1,1
disallow,1,1
disc,1,1
dispatch,1,1
displayed,1,1
disproportionate,1,1
distortion,1,1
distributed,1,1
div,1,1
diverse,1,1
diverted,1,1
divided,1,1
dll,1,1
dockerfiles,1,1
dockerized,1,1
documenting,1,1
dot,1,1
doubly,1,1
doubt,1,1
downtime,1,1
draft,1,1
drawer,1,1
drawn,1,1
drop,1,1
dunning,1,1
duplicating,1,1
duplication,1,1
dwg,1,1
ease,1,1
eat,1,1
echoing,1,1
editor,1,1
efgh,1,1
elect,1,1
electronics,1,1
elf,1,1
eliminates,1,1
embedding,1,1
emits,1,1
emitting,1,1
emmits,1,1
employing,1,1
encoder,1,1
encodes,1,1
encounter,1,1
encountered,1,1
encrypted,1,1
encryption,1,1
endian,1,1
enforce,1,1
enforcement,1,1
enforcing,1,1
enhance,1,1
enormously,1,1
enrichment,1,1
ensuring,1,1
entered,1,1
enthusiast,1,1
environmental,1,1
epub,1,1
equally,1,1
escape,1,1
establish,1,1
estimation,1,1
etched,1,1
evaluate,1,1
evaluates,1,1
evaluator,1,1
eventual,1,1
evil,1,1
exactly,1,1
exceed,1,1
excellent,1,1
excludes,1,1
executed,1,1
executes,1,1
exhibit,1,1
existed,1,1
exit,1,1
expect,1,1
expected,1,1
experimentation,1,1
exportcontents,1,1
exposed,1,1
express,1,1
expressing,1,1
ext,1,1
extending,1,1
extent,1,1
extraneous,1,1
faceted,1,1
factor,1,1
fail,1,1
fall,1,1
family,1,1
fault,1,1
faulty,1,1
featured,1,1
fed,1,1
fetched,1,1
fetchemitworkers,1,1
fetching,1,1
filesystem,1,1
filetype,1,1
filetypes,1,1
fille,1,1
filling,1,1
filtered,1,1
filtering,1,1
finish,1,1
fired,1,1
fixing,1,1
flagged,1,1
flash,1,1
flatten,1,1
flaw,1,1
flow,1,1
fnumber,1,1
focal,1,1
focusing,1,1
focussing,1,1
fold,1,1
footer,1,1
forbit,1,1
force,1,1
forensics,1,1
forkedstatusfile,1,1
formatted,1,1
former,1,1
formula,1,1
forth,1,1
forward,1,1
forwarding,1,1
foundation,1,1
frankly,1,1
fresh,1,1
freshly,1,1
frictionless,1,1
friend,1,1
frontend,1,1
ftp,1,1
fundamental,1,1
fuzzed,1,1
gazetter,1,1
generalize,1,1
generated,1,1
generation,1,1
genuine,1,1
geographical,1,1
geometry,1,1
geonames,1,1
getters,1,1
giuseppe,1,1
giving,1,1
glitch,1,1
golden,1,1
gone,1,1
got,1,1
gov,1,1
govdocs,1,1
grabbed,1,1
grained,1,1
gram,1,1
granular,1,1
greatest,1,1
greatly,1,1
grouped,1,1
grownup,1,1
gsfc,1,1
guard,1,1
guide,1,1
handy,1,1
happens,1,1
happier,1,1
happy,1,1
hard,1,1
hdr,1,1
heart,1,1
heartbeat,1,1
height,1,1
hell,1,1
helping,1,1
herewith,1,1
heritrix,1,1
hesitate,1,1
hex,1,1
hijack,1,1
history,1,1
hold,1,1
hole,1,1
home,1,1
hooking,1,1
hopefully,1,1
hssfworkbook,1,1
human,1,1
hundred,1,1
hunting,1,1
hybrid,1,1
hydro,1,1
hypermedia,1,1
icbm,1,1
icon,1,1
identifier,1,1
identifies,1,1
identifying,1,1
idle,1,1
ikvm,1,1
imagine,1,1
imbedded,1,1
implementration,1,1
importantly,1,1
improved,1,1
improves,1,1
improving,1,1
inaccessible,1,1
inc,1,1
incoming,1,1
incompatibility,1,1
incompatible,1,1
incorporating,1,1
incorrect,1,1
increasingly,1,1
incubating,1,1
independent,1,1
indexed,1,1
indexing,1,1
indicate,1,1
indicates,1,1
inf,1,1
inform,1,1
infracstruture,1,1
infrequent,1,1
ing,1,1
inifinite,1,1
initiated,1,1
injected,1,1
injecting,1,1
injects,1,1
inserted,1,1
inspecting,1,1
install,1,1
instantiate,1,1
instantiated,1,1
instantly,1,1
integer,1,1
integrating,1,1
intelligent,1,1
intentionally,1,1
inter,1,1
interesting,1,1
intermediary,1,1
interrupt,1,1
interrupting,1,1
interval,1,1
intolerable,1,1
introspection,1,1
invalidate,1,1
invalidates,1,1
invalidating,1,1
invocation,1,1
invoke,1,1
invokes,1,1
ioextractor,1,1
irish,1,1
isarchive,1,1
ist,1,1
iteratively,1,1
iwas,1,1
jan,1,1
jarcom,1,1
jarorg,1,1
jaxp,1,1
jboss,1,1
jcr,1,1
jdk,1,1
jerome,1,1
jim,1,1
joshua,1,1
jqf,1,1
june,1,1
kera,1,1
kill,1,1
knew,1,1
knife,1,1
knock,1,1
labeller,1,1
landscape,1,1
late,1,1
latter,1,1
latyer,1,1
launcer,1,1
launcher,1,1
leaf,1,1
learned,1,1
letsmt,1,1
lewis,1,1
lfcnassif,1,1
libphonenumber,1,1
license,1,1
lightweight,1,1
likelihood,1,1
limitation,1,1
linear,1,1
linguistics,1,1
linked,1,1
listing,1,1
literal,1,1
lius,1,1
lived,1,1
llr,1,1
loader,1,1
local,1,1
locally,1,1
locate,1,1
logger,1,1
logically,1,1
logins,1,1
logistic,1,1
lookahead,1,1
loss,1,1
lssue,1,1
lucid,1,1
lumber,1,1
magellan,1,1
maintaining,1,1
malfeasance,1,1
malware,1,1
manageability,1,1
managed,1,1
management,1,1
managing,1,1
mangle,1,1
manipulation,1,1
manufacturer,1,1
mappable,1,1
marker,1,1
marketing,1,1
material,1,1
matter,1,1
mature,1,1
max,1,1
meaning,1,1
meaningfully,1,1
meanwhile,1,1
meatdata,1,1
mechanically,1,1
mechansim,1,1
melded,1,1
mensikova,1,1
menu,1,1
merged,1,1
merges,1,1
messing,1,1
microservices,1,1
migrate,1,1
migrating,1,1
migration,1,1
millis,1,1
millisecond,1,1
mimicking,1,1
mind,1,1
minimal,1,1
minus,1,1
mistake,1,1
mitigated,1,1
mitigation,1,1
mixed,1,1
mobile,1,1
moderate,1,1
modern,1,1
modification,1,1
modifier,1,1
modifying,1,1
modularity,1,1
modularize,1,1
moment,1,1
moreover,1,1
moses,1,1
mount,1,1
multivalued,1,1
mutated,1,1
naive,1,1
namely,1,1
nasa,1,1
natively,1,1
navigate,1,1
navigation,1,1
navigational,1,1
needing,1,1
needlessly,1,1
nermodel,1,1
ness,1,1
nevertheless,1,1
newlines,1,1
noakes,1,1
noise,1,1
nonetheless,1,1
normal,1,1
normalized,1,1
notable,1,1
noted,1,1
noticeable,1,1
notified,1,1
notorious,1,1
npanday,1,1
nquads,1,1
nsf,1,1
nuisance,1,1
num,1,1
oasis,1,1
oauth,1,1
objection,1,1
observing,1,1
occurences,1,1
occuring,1,1
occurrence,1,1
occurs,1,1
ocrparser,1,1
odd,1,1
odt,1,1
older,1,1
onto,1,1
ooxmlparser,1,1
opposed,1,1
optimized,1,1
optionally,1,1
oracle,1,1
ordered,1,1
organization,1,1
orientation,1,1
originating,1,1
outcome,1,1
outdated,1,1
outperformed,1,1
override,1,1
owasp,1,1
owner,1,1
packet,1,1
painful,1,1
par,1,1
paradigm,1,1
partial,1,1
partially,1,1
paying,1,1
payload,1,1
pdfconfig,1,1
pdfont,1,1
pdfrenderer,1,1
pearson,1,1
peg,1,1
performant,1,1
permanent,1,1
permission,1,1
persistence,1,1
persistent,1,1
perspective,1,1
pertaining,1,1
petabyte,1,1
phonenumber,1,1
phrase,1,1
ping,1,1
pinging,1,1
pipesserver,1,1
pkg,1,1
placed,1,1
plug,1,1
plugging,1,1
plus,1,1
pointer,1,1
pojo,1,1
polar,1,1
polymorphic,1,1
pop,1,1
populates,1,1
portion,1,1
position,1,1
possibly,1,1
posted,1,1
postpones,1,1
postprocessing,1,1
precision,1,1
precompiled,1,1
predictable,1,1
predicted,1,1
prefixed,1,1
preserved,1,1
presuming,1,1
prettified,1,1
prevalent,1,1
previous,1,1
printed,1,1
println,1,1
priority,1,1
private,1,1
proactive,1,1
problematic,1,1
produced,1,1
producer,1,1
product,1,1
production,1,1
profiling,1,1
programmatically,1,1
progress,1,1
prohibit,1,1
prolonged,1,1
prominent,1,1
prone,1,1
propagation,1,1
properly,1,1
proposing,1,1
protecting,1,1
prototype,1,1
pulling,1,1
punt,1,1
purifier,1,1
quick,1,1
rabbit,1,1
raise,1,1
raised,1,1
ram,1,1
random,1,1
randomly,1,1
ranging,1,1
rare,1,1
rating,1,1
readability,1,1
ready,1,1
reasonable,1,1
rebalancing,1,1
recogition,1,1
recognized,1,1
recomputing,1,1
recs,1,1
rectify,1,1
recursion,1,1
redefine,1,1
redirect,1,1
redirection,1,1
reduced,1,1
reduces,1,1
ref,1,1
refactors,1,1
refers,1,1
reflecting,1,1
reflects,1,1
regardless,1,1
regexp,1,1
regularly,1,1
reinvent,1,1
reinvented,1,1
relationship,1,1
reliable,1,1
reliably,1,1
reliance,1,1
relies,1,1
reload,1,1
remaining,1,1
remembered,1,1
remembers,1,1
repeating,1,1
repo,1,1
represent,1,1
representative,1,1
represents,1,1
reproduces,1,1
reproducible,1,1
reread,1,1
reset,1,1
resetting,1,1
resloved,1,1
resolver,1,1
resolving,1,1
respond,1,1
responsibility,1,1
responsible,1,1
restarts,1,1
restrict,1,1
restricted,1,1
restriction,1,1
restrictive,1,1
resultant,1,1
returning,1,1
reused,1,1
review,1,1
rewind,1,1
rewriten,1,1
rewritten,1,1
road,1,1
robustly,1,1
rowspan,1,1
rpw,1,1
rtfhyperlink,1,1
rudimentary,1,1
safely,1,1
sake,1,1
samplerate,1,1
sanitization,1,1
sanitize,1,1
sanselan,1,1
satisfy,1,1
scattering,1,1
scheduling,1,1
sci,1,1
science,1,1
scratch,1,1
screen,1,1
secret,1,1
secure,1,1
securing,1,1
seeing,1,1
seen,1,1
select,1,1
selectively,1,1
selects,1,1
self,1,1
semantic,1,1
semantics,1,1
sends,1,1
separating,1,1
separation,1,1
serafeim,1,1
serializable,1,1
serialized,1,1
serverless,1,1
setter,1,1
setup,1,1
shadow,1,1
sharing,1,1
shortcut,1,1
shoved,1,1
showed,1,1
sid,1,1
signer,1,1
significant,1,1
similarity,1,1
simplest,1,1
simplistic,1,1
simultaneous,1,1
singe,1,1
sized,1,1
skipped,1,1
slow,1,1
slower,1,1
smooth,1,1
smoothly,1,1
snippet,1,1
social,1,1
solely,1,1
solrconfig,1,1
solve,1,1
somefilethatdoesnotexist,1,1
somehow,1,1
someparam,1,1
sophisticated,1,1
sorted,1,1
sould,1,1
sparse,1,1
spawn,1,1
specifying,1,1
split,1,1
spool,1,1
spooling,1,1
spreadsheet,1,1
stage,1,1
staging,1,1
standardize,1,1
standardizing,1,1
stanford,1,1
starter,1,1
startup,1,1
statement,1,1
status,1,1
std,1,1
stdout,1,1
steal,1,1
stealing,1,1
stick,1,1
stop,1,1
streamed,1,1
streamlining,1,1
stripped,1,1
strong,1,1
structural,1,1
subimages,1,1
subjective,1,1
submit,1,1
submitted,1,1
subsequent,1,1
subset,1,1
success,1,1
successor,1,1
suffix,1,1
sugar,1,1
sugestion,1,1
suggestion,1,1
suggests,1,1
suitable,1,1
sum,1,1
summarize,1,1
summary,1,1
summer,1,1
super,1,1
supplied,1,1
suppose,1,1
surplus,1,1
surprising,1,1
survey,1,1
susceptible,1,1
svn,1,1
swiss,1,1
switch,1,1
switching,1,1
sxw,1,1
tabular,1,1
taking,1,1
targeted,1,1
tear,1,1
technical,1,1
technology,1,1
ted,1,1
tedious,1,1
tell,1,1
template,1,1
tends,1,1
terminate,1,1
thamme,1,1
thammegowda,1,1
theorem,1,1
theoretical,1,1
theoretically,1,1
tho,1,1
thousand,1,1
thru,1,1
thx,1,1
tier,1,1
tight,1,1
tikaxhtml,1,1
tike,1,1
till,1,1
tilman,1,1
timeline,1,1
timely,1,1
timeouts,1,1
toc,1,1
todos,1,1
together,1,1
tolerant,1,1
took,1,1
toward,1,1
tracked,1,1
traditional,1,1
transfer,1,1
transformation,1,1
transformed,1,1
transitioning,1,1
trasferral,1,1
treated,1,1
trick,1,1
tried,1,1
triggered,1,1
triggering,1,1
trix,1,1
troy,1,1
typed,1,1
ultimately,1,1
unavailable,1,1
unbounded,1,1
unclosed,1,1
undergone,1,1
understood,1,1
unexpectedly,1,1
unification,1,1
uniformity,1,1
unifying,1,1
universal,1,1
universally,1,1
unknowingly,1,1
unnecessary,1,1
unprocessed,1,1
unquoted,1,1
unsafe,1,1
unseen,1,1
unspecified,1,1
unused,1,1
upcoming,1,1
updating,1,1
upgraded,1,1
upon,1,1
ups,1,1
uris,1,1
urn,1,1
usa,1,1
usability,1,1
utfdata,1,1
utilize,1,1
utopian,1,1
vain,1,1
validate,1,1
validated,1,1
validating,1,1
validator,1,1
variant,1,1
variaty,1,1
varies,1,1
varying,1,1
veered,1,1
versa,1,1
vice,1,1
virtue,1,1
visual,1,1
volume,1,1
vulernability,1,1
vulnerabilitiesoutlined,1,1
watcher,1,1
watching,1,1
wav,1,1
wave,1,1
webpage,1,1
wed,1,1
wheel,1,1
whichever,1,1
whilst,1,1
whitespace,1,1
wich,1,1
widely,1,1
width,1,1
wiki,1,1
win,1,1
wip,1,1
wire,1,1
wired,1,1
wishing,1,1
wit,1,1
worked,1,1
workflow,1,1
workingflow,1,1
workload,1,1
worthy,1,1
wrapping,1,1
wrote,1,1
wsdm,1,1
xhml,1,1
xmlbeans,1,1
xmlparser,1,1
xmpdm,1,1
xmppacket,1,1
xmppackets,1,1
xresolution,1,1
yesterday,1,1
york,1,1
yresolution,1,1
zipf,1,1
zitting,1,1
